location_id,time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),weather_code (wmo code),dew_point_2m_max (°C),dew_point_2m_min (°C),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),vapour_pressure_deficit_max (kPa),sunshine_duration (s)
0,2023-05-08,10.4,14.3,6.2,3,6.9,2.5,4.7,68,78,57,0.69,45991.29
0,2023-05-09,11.4,15.6,7.1,3,6.6,4.2,5.3,67,82,52,0.85,42571.48
0,2023-05-10,12.6,17.1,6.7,3,8.1,4.9,6.2,67,89,48,1.00,45318.97
0,2023-05-11,12.8,16.8,9.1,61,10.2,4.1,7.2,70,92,44,1.05,10474.62
0,2023-05-12,9.9,10.6,9.2,53,9.6,7.9,9.0,94,98,87,0.16,0.00
0,2023-05-13,10.7,12.6,9.0,53,9.2,8.2,8.7,88,98,78,0.31,3811.29
0,2023-05-14,10.2,10.9,9.4,63,10.4,8.7,9.7,96,99,94,0.08,0.00
0,2023-05-15,13.3,17.2,9.0,51,10.4,7.6,9.3,79,98,53,0.93,48022.89
0,2023-05-16,11.8,13.8,9.4,63,11.2,7.6,9.7,87,94,80,0.30,1416.92
0,2023-05-17,10.3,12.1,9.0,61,10.7,4.4,6.7,79,91,67,0.43,7487.31
0,2023-05-18,10.2,11.4,8.7,51,6.8,3.7,5.5,73,75,70,0.39,441.91
0,2023-05-19,12.8,17.1,8.7,3,11.2,5.4,8.9,78,89,64,0.71,31676.62
0,2023-05-20,16.1,22.1,10.9,51,14.6,9.8,12.4,80,95,59,1.06,48138.01
0,2023-05-21,18.0,22.9,12.6,1,15.9,10.9,12.8,73,91,50,1.38,51392.37
0,2023-05-22,18.6,23.9,12.9,51,15.9,10.7,13.1,72,87,46,1.60,51367.80
0,2023-05-23,19.8,24.4,15.2,63,15.0,11.5,13.3,67,84,48,1.59,41686.09
0,2023-05-24,16.5,19.6,13.5,3,13.1,10.3,11.5,73,86,56,1.00,40738.71
0,2023-05-25,16.2,21.0,11.8,3,11.8,9.4,10.8,71,86,53,1.16,51299.80
0,2023-05-26,17.3,21.5,12.9,3,11.6,9.7,10.6,66,83,50,1.29,51279.04
0,2023-05-27,16.4,20.6,12.9,1,10.3,5.6,7.0,55,70,38,1.51,52039.56
0,2023-05-28,16.8,21.7,11.7,0,11.2,4.2,8.0,57,71,47,1.37,52022.52
0,2023-05-29,18.3,22.8,13.2,2,9.9,6.9,8.5,54,73,40,1.65,51614.52
0,2023-05-30,18.3,22.4,14.4,3,9.1,6.4,7.6,51,62,38,1.66,52918.98
0,2023-05-31,18.4,23.0,13.6,3,12.3,5.1,8.4,53,69,41,1.64,51189.91
0,2023-06-01,20.0,25.5,13.8,1,12.6,6.4,9.2,51,69,37,2.02,52842.62
